,87_SCPMF
ACC,0.5198019801980198
AUC,0.49534042870884915
Fscore,9.404487131446656e-05
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.5181344294842369
NDCGk,0.16215489857760107
global AUC,0.518326946127673
global NDCG,0.2809245422821076
prediction time (sec),0.49589109420776367
training time (sec),870.4694850444794
