,88_DDA_SKF
ACC,0.5756302521008403
AUC,0.5751440221067676
Fscore,0.00036163166917593695
HR@10,0.001081081081081081
HR@2,0.001081081081081081
HR@5,0.001081081081081081
Lin's AUC,0.5350443734341201
NDCGk,0.20739937827183008
global AUC,0.5957519812250507
global NDCG,0.5254691357332802
prediction time (sec),0.468245267868042
training time (sec),1401.8386437892914
