,11_DRRS
ACC,0.7320675105485233
AUC,0.5385073742482839
Fscore,0.0020643287796691134
HR@10,0.0189873417721519
HR@2,0.004219409282700422
HR@5,0.010548523206751054
Lin's AUC,0.7203850896021846
NDCGk,0.2655816180403768
global AUC,0.7250963619069237
global NDCG,0.63567280503575
prediction time (sec),0.011578798294067383
training time (sec),933.715838432312
