,18_BNNR
ACC,0.9716386554621849
AUC,0.5
Fscore,0.0002787631957728021
HR@10,0.010810810810810811
HR@2,0.002162162162162162
HR@5,0.005405405405405406
Lin's AUC,0.8670010431666337
NDCGk,0.18430390444810113
global AUC,0.9790283709711277
global NDCG,0.8566024018358946
prediction time (sec),0.4363412857055664
training time (sec),4323.519419670105
