,100_FastaiCollabWrapper
ACC,1.0
AUC,0.5
Fscore,7.413553734148447e-05
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.525032335127609
NDCGk,0.15829885178941114
global AUC,0.9417334397267086
global NDCG,0.3419129822836276
prediction time (sec),385.74814319610596
training time (sec),4191.436934709549
