,98_FastaiCollabWrapper
ACC,1.0
AUC,0.5
Fscore,0.0012522910287803273
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.5444407807661614
NDCGk,0.24983148742829564
global AUC,0.9109356153020036
global NDCG,0.4990748352637567
prediction time (sec),16.419187545776367
training time (sec),165.55810475349426
