,62_MBiRW
ACC,1.0
AUC,0.5
Fscore,0.000582759066400591
HR@10,0.018367346938775512
HR@2,0.004081632653061225
HR@5,0.01020408163265306
Lin's AUC,0.7493380486923954
NDCGk,0.2344515203780612
global AUC,0.934909989909397
global NDCG,0.6346632851818406
prediction time (sec),0.07017660140991211
training time (sec),2103.726699113846
