,48_BNNR
ACC,0.974025974025974
AUC,0.5
Fscore,0.00018310694932794928
HR@10,0.008888888888888889
HR@2,0.0017777777777777779
HR@5,0.0044444444444444444
Lin's AUC,0.8601598319265251
NDCGk,0.1733915748468032
global AUC,0.9784932559367728
global NDCG,0.8540786139585381
prediction time (sec),1.7680046558380127
training time (sec),7628.0840430259705
