,8_SCPMF
ACC,0.567193675889328
AUC,0.5011608597295752
Fscore,0.00128380901770674
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.5239568389151693
NDCGk,0.2244210005969365
global AUC,0.5547891369968174
global NDCG,0.4665349444936651
prediction time (sec),0.032280683517456055
training time (sec),55.33656883239746
