,68_FastaiCollabWrapper
ACC,0.9653679653679653
AUC,0.501185393158134
Fscore,0.00017316087991362805
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.5571198495673865
NDCGk,0.17041458874179216
global AUC,0.9020700128522041
global NDCG,0.5031611773139716
prediction time (sec),100.98664999008179
training time (sec),1110.5758390426636
