,31_VariationalWrapper
ACC,1.0
AUC,0.5
Fscore,0.0007933325727759776
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.5
NDCGk,0.2040989803189235
global AUC,0.9004697558541253
global NDCG,0.48245776709996946
prediction time (sec),19.38571000099182
training time (sec),3182.822633266449
