,17_VariationalWrapper
ACC,1.0
AUC,0.5
Fscore,0.0006524046290352208
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.5
NDCGk,0.2031408550106618
global AUC,0.9004697558541253
global NDCG,0.49844246753907717
prediction time (sec),19.540398597717285
training time (sec),3194.4906425476074
