,95_VariationalWrapper
ACC,1.0
AUC,0.5
Fscore,0.0006308078535208597
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.5
NDCGk,0.19622973441732824
global AUC,0.9004697558541253
global NDCG,0.48527389573976565
prediction time (sec),17.234067916870117
training time (sec),3148.195143699646
