,37_DDA_SKF
ACC,0.6245059288537549
AUC,0.5449484436185281
Fscore,0.00133253208797939
HR@10,0.009881422924901186
HR@2,0.001976284584980237
HR@5,0.003952569169960474
Lin's AUC,0.5482561138062515
NDCGk,0.2389109423801602
global AUC,0.6259430451870039
global NDCG,0.5959400318610261
prediction time (sec),0.036907196044921875
training time (sec),406.9341058731079
