,99_PMF
ACC,0.5342465753424658
AUC,0.5211995409983263
Fscore,0.00043433244486733297
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.5630032348599938
NDCGk,0.20855038001552792
global AUC,0.5424269508504731
global NDCG,0.31012193829421564
prediction time (sec),0.006304502487182617
training time (sec),7.650131464004517
