,100_PMF
ACC,0.5210970464135021
AUC,0.519557566761326
Fscore,0.0018776243496284272
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.5478800906967134
NDCGk,0.26336781675208515
global AUC,0.5218516496828324
global NDCG,0.454499232452643
prediction time (sec),0.017095565795898438
training time (sec),21.795438766479492
