,73_HAN
ACC,1.0
AUC,0.5
Fscore,6.64633269081798e-05
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.7306966525812352
NDCGk,0.17732149477458703
global AUC,0.9583610500680705
global NDCG,0.3655499490600747
prediction time (sec),1.9665682315826416
training time (sec),4402.536912441254
