,34_BNNR
ACC,0.975609756097561
AUC,0.5
Fscore,0.00039122055904588344
HR@10,0.075
HR@2,0.025
HR@5,0.0625
Lin's AUC,0.6473465982468036
NDCGk,0.19634553266292995
global AUC,0.9358626720586486
global NDCG,0.6361745649130418
prediction time (sec),0.3066864013671875
training time (sec),787.111424446106
