,31_HAN
ACC,1.0
AUC,0.5
Fscore,0.00024342051892371294
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.43512280608682835
NDCGk,0.1773132460734375
global AUC,0.9396121461538983
global NDCG,0.32707277478948593
prediction time (sec),1.6901426315307617
training time (sec),2836.2292971611023
