,41_SCPMF
ACC,0.375
AUC,0.5368226707280893
Fscore,0.0002679027974124389
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.4066398617372418
NDCGk,0.18257110957248296
global AUC,0.38345046495750873
global NDCG,0.2609500195557448
prediction time (sec),1.1773579120635986
training time (sec),1867.1781692504883
