,8_LibMF
ACC,1.0
AUC,0.5
Fscore,0.00130715988415049
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.18561131887249546
NDCGk,0.23316220661174758
global AUC,0.8991210407114435
global NDCG,0.4985048281279898
prediction time (sec),0.00742340087890625
training time (sec),29.226778745651245
