,17_LogisticMF
ACC,1.0
AUC,0.5
Fscore,0.004049670655826028
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.7013481527124563
NDCGk,0.24538664018780795
global AUC,0.9287956107283429
global NDCG,0.5579140317757011
prediction time (sec),0.05141925811767578
training time (sec),16.08384394645691
