,53_LogisticMF
ACC,1.0
AUC,0.5
Fscore,0.0006428325067042894
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.7502362003737497
NDCGk,0.2059177440148821
global AUC,0.9533255557665218
global NDCG,0.5846865653918057
prediction time (sec),0.13365674018859863
training time (sec),48.22444462776184
