,17_NIMCGCN
ACC,1.0
AUC,0.5
Fscore,0.00024342051892371294
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.23654752388233943
NDCGk,0.1773132460734375
global AUC,0.8711840233738002
global NDCG,0.28820901290395984
prediction time (sec),1202.8459253311157
training time (sec),34568.50540447235
