,5_VariationalWrapper
ACC,1.0
AUC,0.5
Fscore,0.0013708463847358515
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.5
NDCGk,0.24996898234148415
global AUC,0.9008352139594649
global NDCG,0.47753319389729126
prediction time (sec),3.0456833839416504
training time (sec),1345.9284934997559
