,8_VariationalWrapper
ACC,1.0
AUC,0.5
Fscore,0.0012412832329429177
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.5
NDCGk,0.2372292503680283
global AUC,0.9008352139594649
global NDCG,0.4925479869960999
prediction time (sec),2.7170112133026123
training time (sec),1322.1482334136963
