,68_VariationalWrapper
ACC,1.0
AUC,0.5
Fscore,0.0016299629508898655
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.5
NDCGk,0.25044815405641413
global AUC,0.9008352139594649
global NDCG,0.48618211986855026
prediction time (sec),2.8454830646514893
training time (sec),1315.7304394245148
