,89_DDA_SKF
ACC,0.5573770491803278
AUC,0.5443581449811035
Fscore,0.0007684845122162981
HR@10,0.003278688524590164
HR@2,0.0
HR@5,0.0
Lin's AUC,0.541962142651389
NDCGk,0.21486196397649168
global AUC,0.56599816106683
global NDCG,0.5393534155098451
prediction time (sec),0.10820841789245605
training time (sec),435.54942202568054
