,1_LogisticMF
ACC,0.9716386554621849
AUC,0.5
Fscore,0.0002661786633384738
HR@10,0.001081081081081081
HR@2,0.0
HR@5,0.001081081081081081
Lin's AUC,0.782452911182992
NDCGk,0.18369290119249615
global AUC,0.9667970268039515
global NDCG,0.6325604058374046
prediction time (sec),0.23053407669067383
training time (sec),85.85385513305664
