,31_FastaiCollabWrapper
ACC,1.0
AUC,0.5
Fscore,0.0011326870492737902
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.5240516904539022
NDCGk,0.22372748513658097
global AUC,0.9092232807194496
global NDCG,0.49498619089990703
prediction time (sec),11.46614408493042
training time (sec),123.96945261955261
