,23_PMF
ACC,0.625974025974026
AUC,0.5511624063893305
Fscore,0.00023712011178899205
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.5525153852736128
NDCGk,0.1840643970850997
global AUC,0.6212893687133004
global NDCG,0.4895090497010275
prediction time (sec),0.1747276782989502
training time (sec),74.0721447467804
