,89_MBiRW
ACC,1.0
AUC,0.5
Fscore,0.0018876231996239703
HR@10,0.002109704641350211
HR@2,0.002109704641350211
HR@5,0.002109704641350211
Lin's AUC,0.8024014797206938
NDCGk,0.27890988615983525
global AUC,0.9558677344495433
global NDCG,0.6128352122167826
prediction time (sec),0.023825883865356445
training time (sec),3077.266361474991
