,80_HAN
ACC,0.9863013698630136
AUC,0.5
Fscore,0.0003800289612777521
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.7054116301923221
NDCGk,0.1975368959252907
global AUC,0.9357284312347507
global NDCG,0.3500940232752576
prediction time (sec),0.6057944297790527
training time (sec),195.8979365825653
