,30_MBiRW
ACC,1.0
AUC,0.5
Fscore,0.0012525797386025736
HR@10,0.015503875968992248
HR@2,0.002583979328165375
HR@5,0.00516795865633075
Lin's AUC,0.8858791087955467
NDCGk,0.22300876726308047
global AUC,0.9781526641805933
global NDCG,0.7743662191807855
prediction time (sec),0.0727853775024414
training time (sec),2732.5287919044495
