,73_DRRS
ACC,0.6979591836734694
AUC,0.6119446418493769
Fscore,0.0010749348615393295
HR@10,0.01020408163265306
HR@2,0.004081632653061225
HR@5,0.006122448979591836
Lin's AUC,0.6813064065325285
NDCGk,0.2502930865667979
global AUC,0.688303804877213
global NDCG,0.5759593677444504
prediction time (sec),0.08017706871032715
training time (sec),1660.1749167442322
