,31_NIMCGCN
ACC,1.0
AUC,0.5
Fscore,0.0018876231996239703
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.5021924355682749
NDCGk,0.27890988615983525
global AUC,0.8939926863135985
global NDCG,0.48159865129385643
prediction time (sec),18.674000024795532
training time (sec),476.3183665275574
