,35_LibMF
ACC,0.974025974025974
AUC,0.5
Fscore,0.00017697067597272054
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.16318186678771943
NDCGk,0.17102112983259637
global AUC,0.899895923568096
global NDCG,0.490309160571102
prediction time (sec),0.0184476375579834
training time (sec),67.05309557914734
