,88_PMF
ACC,0.5016077170418006
AUC,0.5079916729321987
Fscore,0.0002213293598190575
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.4979780665451746
NDCGk,0.1855714048079467
global AUC,0.4990844017540308
global NDCG,0.464263792665112
prediction time (sec),0.1354837417602539
training time (sec),66.98415851593018
