,77_LogisticMF
ACC,1.0
AUC,0.5
Fscore,0.0011326870492737902
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.6284619655632434
NDCGk,0.22372748513658097
global AUC,0.9243459657701711
global NDCG,0.5321830590334895
prediction time (sec),0.01960587501525879
training time (sec),13.544840097427368
