,85_NIMCGCN
ACC,1.0
AUC,0.5
Fscore,0.0015177863634335074
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.48050937847797753
NDCGk,0.22901933458407792
global AUC,0.9035872156987285
global NDCG,0.4857442597662291
prediction time (sec),13.98259973526001
training time (sec),421.4208924770355
