,71_DDA_SKF
ACC,0.0
AUC,0.5
Fscore,0.0
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.5
NDCGk,0.2344515203780612
global AUC,0.09922887694971999
global NDCG,0.37019113815693133
prediction time (sec),0.15277671813964844
training time (sec),707.7240927219391
