,90_FastaiCollabWrapper
ACC,1.0
AUC,0.5
Fscore,0.0014050201154917512
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.5474037485984948
NDCGk,0.23172753743864566
global AUC,0.911911448729244
global NDCG,0.501841149936647
prediction time (sec),30.47927474975586
training time (sec),406.8328685760498
