,92_DDA_SKF
ACC,0.5478036175710594
AUC,0.5418651352005808
Fscore,0.001387031715597725
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.49823312238550227
NDCGk,0.23827106822043806
global AUC,0.5526386563653471
global NDCG,0.50179825631853
prediction time (sec),0.029146909713745117
training time (sec),300.80472016334534
