,68_MBiRW
ACC,0.975609756097561
AUC,0.5015698222872125
Fscore,0.00047771250862231666
HR@10,0.0125
HR@2,0.0
HR@5,0.0125
Lin's AUC,0.7212981097782513
NDCGk,0.21302469807573884
global AUC,0.9433014040418239
global NDCG,0.4174963044688956
prediction time (sec),0.5144946575164795
training time (sec),2367.1805868148804
