,75_HAN
ACC,1.0
AUC,0.5
Fscore,0.0011299169792576308
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.6918670738936005
NDCGk,0.24562889809174535
global AUC,0.9344175348031366
global NDCG,0.5316550205546641
prediction time (sec),0.07627010345458984
training time (sec),685.2207088470459
