,2_DRRS
ACC,0.8630490956072352
AUC,0.6550938074849728
Fscore,0.0022175848886227542
HR@10,0.01808785529715762
HR@2,0.00516795865633075
HR@5,0.007751937984496124
Lin's AUC,0.8315009601662652
NDCGk,0.2825043130045786
global AUC,0.8574186986510802
global NDCG,0.7520484825864006
prediction time (sec),0.012730836868286133
training time (sec),649.6547071933746
