,41_LibMF
ACC,1.0
AUC,0.5
Fscore,8.286452948890187e-05
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.2009682555510998
NDCGk,0.158993118360267
global AUC,0.9001718335777009
global NDCG,0.3006133230308921
prediction time (sec),0.1376819610595703
training time (sec),246.63085293769836
