,9_ALSWR
ACC,0.7312252964426877
AUC,0.6214047955115584
Fscore,0.0016478619512871277
HR@10,0.01383399209486166
HR@2,0.0
HR@5,0.005928853754940711
Lin's AUC,0.725316143154774
NDCGk,0.24846209616717085
global AUC,0.736495942381317
global NDCG,0.7189148557641123
prediction time (sec),0.043678998947143555
training time (sec),30.92022967338562
