,41_SCPMF
ACC,0.5139318885448917
AUC,0.48148341883436585
Fscore,0.0036463707057558022
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.47695136901647317
NDCGk,0.2368213352746133
global AUC,0.5095817898655477
global NDCG,0.43195839068973757
prediction time (sec),0.03829312324523926
training time (sec),67.98817563056946
