,46_LibMF
ACC,1.0
AUC,0.5
Fscore,0.000582759066400591
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.23610520706166527
NDCGk,0.2344515203780612
global AUC,0.9016319163257168
global NDCG,0.4637978504790109
prediction time (sec),0.013895273208618164
training time (sec),49.256871938705444
