,30_DDA_SKF
ACC,0.0
AUC,0.5
Fscore,0.0
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.5
NDCGk,0.27890988615983525
global AUC,0.09884629451075572
global NDCG,0.3862789296923455
prediction time (sec),0.02467513084411621
training time (sec),459.2987427711487
