,93_FastaiCollabWrapper
ACC,1.0
AUC,0.5
Fscore,0.0018876231996239703
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.5758115897913386
NDCGk,0.27890988615983525
global AUC,0.9111379246151474
global NDCG,0.4932221340480209
prediction time (sec),16.25297474861145
training time (sec),182.63318252563477
