,5_BNNR
ACC,1.0
AUC,0.5
Fscore,0.0013708463847358515
HR@10,0.023255813953488372
HR@2,0.002583979328165375
HR@5,0.0103359173126615
Lin's AUC,0.8777456188086133
NDCGk,0.24996898234148415
global AUC,0.9778484827913885
global NDCG,0.8129741302915006
prediction time (sec),0.08218598365783691
training time (sec),303.7670488357544
