,63_DRRS
ACC,0.834625322997416
AUC,0.6763974428567194
Fscore,0.0020609619578980253
HR@10,0.01808785529715762
HR@2,0.00516795865633075
HR@5,0.0103359173126615
Lin's AUC,0.8266502126988954
NDCGk,0.26868844510906204
global AUC,0.8318589799231633
global NDCG,0.7462757515898963
prediction time (sec),0.04886507987976074
training time (sec),599.2560353279114
