,86_DRRS
ACC,0.896640826873385
AUC,0.7168373069994612
Fscore,0.0023139038978859825
HR@10,0.020671834625323
HR@2,0.00516795865633075
HR@5,0.012919896640826873
Lin's AUC,0.8450492373240495
NDCGk,0.267915785199421
global AUC,0.8862727322366453
global NDCG,0.7552329667104901
prediction time (sec),0.04601931571960449
training time (sec),474.5009751319885
