,56_ALSWR
ACC,0.6537467700258398
AUC,0.5868395229025878
Fscore,0.0017578321184389403
HR@10,0.012919896640826873
HR@2,0.002583979328165375
HR@5,0.00516795865633075
Lin's AUC,0.6406353930942847
NDCGk,0.253567016130362
global AUC,0.6581948996911506
global NDCG,0.6250939343285407
prediction time (sec),0.03684043884277344
training time (sec),23.727757692337036
