,64_DRRS
ACC,0.9031620553359684
AUC,0.6884384453363039
Fscore,0.0017653648759984025
HR@10,0.007905138339920948
HR@2,0.001976284584980237
HR@5,0.005928853754940711
Lin's AUC,0.8669355729980323
NDCGk,0.2646253580121113
global AUC,0.89715543850903
global NDCG,0.7695900701736988
prediction time (sec),0.02242422103881836
training time (sec),1099.496568441391
