,42_BNNR
ACC,1.0
AUC,0.5
Fscore,0.0015684475217363142
HR@10,0.023255813953488372
HR@2,0.00516795865633075
HR@5,0.012919896640826873
Lin's AUC,0.8200107594288373
NDCGk,0.2166117078197694
global AUC,0.9652948691474553
global NDCG,0.7850429416028171
prediction time (sec),0.030320167541503906
training time (sec),243.88668608665466
