,57_SCPMF
ACC,0.6360655737704918
AUC,0.5673647128309482
Fscore,0.0008337159195074215
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.5814557305448971
NDCGk,0.20717878802102024
global AUC,0.6300739960705115
global NDCG,0.48609061213965093
prediction time (sec),0.06984400749206543
training time (sec),104.62514638900757
