,44_DDA_SKF
ACC,0.0
AUC,0.5
Fscore,0.0
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.5
NDCGk,0.22372748513658097
global AUC,0.09776457883369333
global NDCG,0.3857919933216655
prediction time (sec),0.015363693237304688
training time (sec),162.4296760559082
