,29_DRRS
ACC,0.5789473684210527
AUC,0.6031623304189482
Fscore,0.003809946732060311
HR@10,0.009287925696594427
HR@2,0.0
HR@5,0.0030959752321981426
Lin's AUC,0.5264744376363958
NDCGk,0.2665236108502787
global AUC,0.5746823862525773
global NDCG,0.5256779473498343
prediction time (sec),0.024827003479003906
training time (sec),481.7185056209564
