,43_DRRS
ACC,0.898360655737705
AUC,0.7572408514819237
Fscore,0.0014430209236758276
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.8822734166389992
NDCGk,0.26159234489601
global AUC,0.8964994268693033
global NDCG,0.6664082380139797
prediction time (sec),0.1089024543762207
training time (sec),1846.070957183838
