,1_MBiRW
ACC,1.0
AUC,0.5
Fscore,8.893172423619369e-05
HR@10,0.01485148514851485
HR@2,0.009900990099009901
HR@5,0.009900990099009901
Lin's AUC,0.9479429419090257
NDCGk,0.16852652324496267
global AUC,0.9913548776862641
global NDCG,0.5805976082993263
prediction time (sec),1.166527271270752
training time (sec),132342.21614646912
