,73_ALSWR
ACC,0.2591687041564792
AUC,0.5265643728708673
Fscore,0.0011731956250744242
HR@10,0.007334963325183374
HR@2,0.004889975550122249
HR@5,0.004889975550122249
Lin's AUC,0.2662972835781722
NDCGk,0.23173279130505037
global AUC,0.3117127456209371
global NDCG,0.48992269818453216
prediction time (sec),0.04156613349914551
training time (sec),17.283907175064087
